Stock_Code,Quarter_Date,Gross Profit,Cost Of Revenue,Total Revenue,Net Income,close_date,Price,Company Name,GICS Sector,GICS Sub Industry,Founded,State,Province
ABT,12/31/2023,5685000000,4556000000,10241000000,1594000000,3/11/2024,120.1900024,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,12/31/2023,5685000000,4556000000,10241000000,1594000000,3/12/2024,120.7600021,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,12/31/2023,5685000000,4556000000,10241000000,1594000000,3/13/2024,120.1600037,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,12/31/2023,5685000000,4556000000,10241000000,1594000000,3/14/2024,118.8499985,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,12/31/2023,5685000000,4556000000,10241000000,1594000000,3/15/2024,115.4899979,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,9/30/2023,5538000000,4605000000,10143000000,1436000000,3/11/2024,120.1900024,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,9/30/2023,5538000000,4605000000,10143000000,1436000000,3/12/2024,120.7600021,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,9/30/2023,5538000000,4605000000,10143000000,1436000000,3/13/2024,120.1600037,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,9/30/2023,5538000000,4605000000,10143000000,1436000000,3/14/2024,118.8499985,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,9/30/2023,5538000000,4605000000,10143000000,1436000000,3/15/2024,115.4899979,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,6/30/2023,5495000000,4483000000,9978000000,1375000000,3/11/2024,120.1900024,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,6/30/2023,5495000000,4483000000,9978000000,1375000000,3/12/2024,120.7600021,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,6/30/2023,5495000000,4483000000,9978000000,1375000000,3/13/2024,120.1600037,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,6/30/2023,5495000000,4483000000,9978000000,1375000000,3/14/2024,118.8499985,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,6/30/2023,5495000000,4483000000,9978000000,1375000000,3/15/2024,115.4899979,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,3/31/2023,5416000000,4331000000,9747000000,1318000000,3/11/2024,120.1900024,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,3/31/2023,5416000000,4331000000,9747000000,1318000000,3/12/2024,120.7600021,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,3/31/2023,5416000000,4331000000,9747000000,1318000000,3/13/2024,120.1600037,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,3/31/2023,5416000000,4331000000,9747000000,1318000000,3/14/2024,118.8499985,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,3/31/2023,5416000000,4331000000,9747000000,1318000000,3/15/2024,115.4899979,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,12/31/2022,5498000000,4593000000,10091000000,1033000000,3/11/2024,120.1900024,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,12/31/2022,5498000000,4593000000,10091000000,1033000000,3/12/2024,120.7600021,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,12/31/2022,5498000000,4593000000,10091000000,1033000000,3/13/2024,120.1600037,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,12/31/2022,5498000000,4593000000,10091000000,1033000000,3/14/2024,118.8499985,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABT,12/31/2022,5498000000,4593000000,10091000000,1033000000,3/15/2024,115.4899979,Abbott,Health Care,Health Care Equipment,1888,Illinois,North Chicago
ABBV,12/31/2023,8597000000,5704000000,14301000000,822000000,3/11/2024,179.6300049,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,12/31/2023,8597000000,5704000000,14301000000,822000000,3/12/2024,180.9199982,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,12/31/2023,8597000000,5704000000,14301000000,822000000,3/13/2024,179.8600006,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,12/31/2023,8597000000,5704000000,14301000000,822000000,3/14/2024,181.1999969,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,12/31/2023,8597000000,5704000000,14301000000,822000000,3/15/2024,177.8800049,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,9/30/2023,7442000000,6485000000,13927000000,1778000000,3/11/2024,179.6300049,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,9/30/2023,7442000000,6485000000,13927000000,1778000000,3/12/2024,180.9199982,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,9/30/2023,7442000000,6485000000,13927000000,1778000000,3/13/2024,179.8600006,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,9/30/2023,7442000000,6485000000,13927000000,1778000000,3/14/2024,181.1999969,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,9/30/2023,7442000000,6485000000,13927000000,1778000000,3/15/2024,177.8800049,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
ABBV,6/30/2023,9625000000,4240000000,13865000000,2024000000,3/11/2024,179.6300049,AbbVie,Health Care,Biotechnology,2013 (1888),Illinois,North Chicago
